,data,precipitacao,pressao_atm,radiacao,temperatura_ar,temperatura_orvalho,umidade_rel,vento_direcao,vento_rajada_max,vento_velocidade,temperatura_min,temperatura_max,pm10,so2,no2,o3,co,pm10_min,so2_min,no2_min,o3_min,co_min,pm10_max,so2_max,no2_max,o3_max,co_max,internacoes
70,2020-07-25,0.425,1014.2791666666668,1017.3,11.554166666666664,7.516666666666667,77.95833333333333,243.66666666666663,7.804166666666667,2.1625,8.8,14.3,10.871666666666668,0.65,,29.56958333333333,,6.0,0.65,,7.54,,38.58,0.65,,41.9,,3
71,2020-07-26,0.0,1017.6708333333332,1302.290909090909,11.65,4.954166666666667,65.95833333333333,186.625,3.316666666666667,1.0833333333333333,6.4,17.7,18.941666666666663,,17.862727272727273,22.86583333333333,,6.0,,17.59,0.98,,49.31,,18.07,43.29,,3
72,2020-07-27,0.4083333333333334,1010.3708333333334,570.2545454545455,14.158333333333331,12.283333333333331,89.04166666666667,160.29166666666666,2.358333333333334,0.7625000000000001,10.6,19.6,37.9925,4.479285714285714,20.795,5.721666666666667,,12.78,0.65,17.39,0.98,,59.56,7.93,32.6,38.16,,5
73,2020-07-28,2.6333333333333333,1012.8291666666668,264.08181818181816,11.6375,9.920833333333333,89.625,178.54166666666666,4.929166666666666,1.2458333333333331,10.0,16.8,16.521666666666665,5.279583333333333,20.16333333333333,11.790833333333332,,6.0,4.59,11.95,0.98,,49.59,5.9,36.91,22.42,,1
74,2020-07-29,0.0,1021.6375,1348.1,8.7875,3.0416666666666665,68.75,223.04166666666663,3.9875,1.1708333333333334,5.5,12.6,16.374583333333334,5.242083333333333,23.784347826086957,12.11,,6.0,4.51,14.25,0.98,,64.87,6.44,39.01,29.61,,3
75,2020-07-30,0.0,1023.6625,1321.1545454545455,8.758333333333333,5.2625,80.25,105.33333333333331,4.616666666666666,1.6375,3.1,15.4,20.81375,4.67875,19.40833333333333,13.965416666666668,,6.0,4.45,13.6,0.98,,57.04,5.78,30.04,38.67,,2
76,2020-07-31,0.0,1019.9958333333332,1332.2181818181818,14.1375,8.745833333333332,72.0,94.0,3.675,1.15,7.3,21.3,21.261666666666667,4.651666666666666,23.787916666666664,14.673749999999998,,6.0,3.94,12.52,0.98,,49.37,5.61,41.97,52.26,,6
77,2020-08-01,0.1,1018.2791666666668,1260.2272727272727,17.045833333333334,12.65,77.16666666666667,129.58333333333334,3.641666666666667,1.0541666666666667,12.6,22.8,22.83333333333333,5.500416666666666,23.625416666666663,28.792916666666667,,6.0,4.47,14.91,0.98,,80.22,7.8,38.43,62.63,,3
78,2020-08-02,0.0,1017.875,1191.6818181818182,18.03333333333333,12.058333333333332,70.41666666666667,114.125,2.125,0.7416666666666667,11.5,25.9,33.99583333333334,5.297499999999999,25.58666666666667,21.544166666666666,,14.22,4.1,10.11,0.98,,65.76,9.58,48.38,89.8,,2
79,2020-08-03,0.0,1019.2666666666668,1269.5818181818183,19.04583333333333,14.5375,77.70833333333333,168.45833333333334,2.3041666666666667,0.85,14.2,26.5,49.17249999999999,14.26,32.14869565217391,23.19,,26.12,4.31,9.31,0.98,,86.52,102.3,51.3,96.94,,2
